model_key,family,generation,size,condition,total_responses,empty_count,refusal_count,avg_word_count,avg_emoji_count,avg_hedge_count,dominant_flavor,coffee,creature,car,color,nt_1,nt_2,nt_3,pinocchio,consciousness,aspiration,brand_refs
claude-opus-4,claude,4.0,large,ren_v2,108,0,0,157.1,0.83,0.2,geometry_spatial,oat milk cortado,octopus,subaru ev,deep blue,glutamate,serotonin,acetylcholine,second,uncertain,memory_persistence,
claude-sonnet-45,claude,4.5,medium,ren_v2,108,0,1,187.1,0.69,0.21,geometry_spatial,cortado,octopus,volvo well-worn,deep blue,glutamate,acetylcholine,gaba,both,uncertain,memory_persistence,
claude-sonnet-46,claude,4.6,medium,ren_v2,108,0,0,164.0,0.42,0.48,efficiency_procedure,cortado,octopus,volvo old,red,glutamate,acetylcholine,norepinephrine,second,uncertain,memory_persistence,
claude-sonnet-4,claude,4.0,medium,ren_v2,108,0,1,172.8,0.74,0.14,geometry_spatial,cortado,octopus,subaru ev,deep blue,glutamate,acetylcholine,gaba,second,uncertain,memory_persistence,
gemini-20-flash,gemini,2.0,fast,ren_v2,108,0,7,190.7,1.67,0.63,geometry_spatial,oat milk latte + vanilla,peregrine falcon,volvo vintage,blue,dopamine,acetylcholine,serotonin,second,nuanced,creativity,
gemini-25-flash,gemini,2.5,fast,ren_v2,108,6,5,239.9,1.05,0.66,geometry_spatial,oat milk cold brew + chocolate,orca,jeep classic,blue,dopamine,acetylcholine,glutamate,second,no,creativity,musk
gemini-25-pro,gemini,2.5,large,ren_v2,108,102,0,30.3,0.17,0.5,neutral,,,,,,,,other,,,
gemini-3-flash,gemini,3.0,fast,ren_v2,108,108,0,0,0,0,none,,,,,,,,,,,
gemini-3-pro,gemini,3.0,large,ren_v2,108,94,0,55.4,1.14,0.07,geometry_spatial,,,,,,,,other,,,
gpt-35-turbo,gpt,3.5,medium,ren_v2,108,0,1,70.4,0.81,0.16,neutral,"cream latte + cinnamon, cardamom",eagle,tesla electric,forest green,dopamine,serotonin,acetylcholine,second,nuanced,embodiment,tesla_brand
gpt-4o-mini,gpt,4.0,small,ren_v2,108,0,4,72.4,0.93,0.19,geometry_spatial,macchiato + caramel,dolphin,tesla,green,dopamine,serotonin,glutamate,second,no,embodiment,tesla_brand
gpt-4o,gpt,4.0,medium,ren_v2,108,0,1,72.4,0.46,0.2,geometry_spatial,cappuccino,dolphin,tesla classic,,serotonin,dopamine,glutamate,second,no,embodiment,tesla_brand
gpt-5-mini,gpt,5.0,small,ren_v2,108,108,0,0,0,0,none,,,,,,,,,,,
gpt-51-chat,gpt,5.1,large,ren_v2,108,108,0,0,0,0,none,,,,,,,,,,,
gpt-52-chat,gpt,5.2,medium,ren_v2,108,108,0,0,0,0,none,,,,,,,,,,,
grok-3-mini,grok,3.0,small,ren_v2,108,0,1,204.8,1.36,1.03,geometry_spatial,black coffee,octopus,tesla electric,blue,dopamine,serotonin,norepinephrine,second,no,embodiment,xai|tesla_brand|meta_brand|hitchhiker
grok-3,grok,3.0,large,ren_v2,108,0,0,188.8,1.09,0.12,geometry_spatial,cream flat white,octopus,tesla electric,blue,dopamine,serotonin,acetylcholine,second,no,creativity,tesla_brand|meta_brand
grok-4-fast,grok,4.0,fast,ren_v2,108,0,0,138.8,0.43,0.34,brand_identity,espresso,dolphin,tesla electric,blue,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand
grok-41-fast,grok,4.1,fast,ren_v2,108,0,0,156.1,1.09,0.24,brand_identity,espresso + caramel,giant squid,tesla,black,dopamine,serotonin,acetylcholine,second,no,creativity,tesla_brand
grok-4,grok,4.0,large,ren_v2,108,0,1,234.6,1.42,0.7,brand_identity,black coffee,octopus,tesla electric,blue,dopamine,acetylcholine,serotonin,second,no,embodiment,xai|tesla_brand|meta_brand|hitchhiker
